Company ID,DSRI,GMI,AQI,SGI,DEPI,SGAI,ACCR,LEVI,Manipulator,M-SCORE,C-MANIPULATOR
58,0.652775978,-20.81184877,0.947131863,1.700154035,0.436843798,0.918363769,-0.055967524,1.337930461,No,-14.13602042,0
53,0.531474509,1.002974042,-3.752402247,0.965450144,0.868986679,1,0.008934361,2.542951542,No,-5.338069948,0
177,0.866579938,1.011235301,-4.712396746,1.024907749,1.068137576,1.057470318,-0.019814241,1.043559182,No,-4.991408551,0
81,0.551165147,0.987932583,0.949190815,0.875,1.29148106,0.950422328,-0.371346838,1.046087436,No,-4.741881337,0
52,0.690390588,0.954615651,-2.113457609,1.07196938,1.10015568,1.266827229,-0.131930117,1.137605075,No,-4.67911804,0
138,0.713734647,-2.471172496,0.83421073,1.341218535,1.091457515,1.758608976,-0.002135485,0.961807599,No,-4.456221283,0
169,2.022031492,-1.135602785,0.621424153,0.276894896,1.509165525,5.104329195,-0.00338838,1.235870706,No,-4.20565823,0
154,4.706671932,-0.683370106,-2.13148487,0.264122617,1.252907938,1.468829192,-0.376564738,2.043912977,No,-4.035063912,0
212,0.694252666,1.014834183,2.007355775,0.955989198,0.953388291,0.858227652,-0.266143977,1.670846872,No,-3.831371099,0
109,0.600572996,0.281581536,1.087760589,0.917052574,0.865873008,0.998755584,-0.103957722,1.090766847,No,-3.796641123,0
111,0.015095985,1.043698875,0.821016526,0.916221034,1.145947019,1.048071224,-0.066976264,0.785316782,No,-3.744743719,0
133,0.983025696,0.615352768,0.842998654,1.101930529,1.034094384,1.043499323,-0.196748916,1.250219863,No,-3.677187713,0
195,0.68464716,1.331614562,0.978497385,0.602892513,0.999675101,1.301418358,-0.106914585,1.270844251,No,-3.598639793,0
136,1.459633293,0.690204394,1.172949764,0.601372706,1.166262894,1,-0.215730536,1.255062532,No,-3.580101685,0
47,0.54774822,0.747301526,5.169690781,0.31843566,0.587257998,1.60106461,-0.327628362,0.817558185,No,-3.577059823,0
172,1.38156418,0.617463385,-0.668834996,0.682979714,1.370966977,0.788607524,-0.045887685,1.359964002,No,-3.541327719,0
